product_category_name,order_purchase_timestamp,order_quantity
eletrodomesticos,2017-06-29,3
eletrodomesticos,2017-06-30,1
eletrodomesticos,2017-07-01,1
eletrodomesticos,2017-07-02,1
eletrodomesticos,2017-07-03,3
eletrodomesticos,2017-07-04,1
eletrodomesticos,2017-07-06,1
eletrodomesticos,2017-07-11,1
eletrodomesticos,2017-07-14,1
eletrodomesticos,2017-07-15,1
eletrodomesticos,2017-07-17,1
eletrodomesticos,2017-07-18,2
eletrodomesticos,2017-07-19,2
eletrodomesticos,2017-07-20,4
eletrodomesticos,2017-07-22,3
eletrodomesticos,2017-07-23,1
eletrodomesticos,2017-07-24,3
eletrodomesticos,2017-07-25,3
eletrodomesticos,2017-07-26,1
eletrodomesticos,2017-07-27,1
eletrodomesticos,2017-07-28,2
eletrodomesticos,2017-07-29,2
eletrodomesticos,2017-07-31,2
eletrodomesticos,2017-08-01,2
eletrodomesticos,2017-08-02,1
eletrodomesticos,2017-08-07,3
eletrodomesticos,2017-08-08,1
eletrodomesticos,2017-08-09,2
eletrodomesticos,2017-08-10,2
eletrodomesticos,2017-08-12,1
eletrodomesticos,2017-08-13,2
eletrodomesticos,2017-08-14,2
eletrodomesticos,2017-08-15,4
eletrodomesticos,2017-08-16,4
eletrodomesticos,2017-08-17,5
eletrodomesticos,2017-08-18,1
eletrodomesticos,2017-08-23,1
eletrodomesticos,2017-08-24,1
eletrodomesticos,2017-08-25,1
eletrodomesticos,2017-08-26,1
eletrodomesticos,2017-08-27,2
eletrodomesticos,2017-08-28,4
eletrodomesticos,2017-08-29,1
eletrodomesticos,2017-08-30,4
eletrodomesticos,2017-08-31,4
eletrodomesticos,2017-09-02,1
eletrodomesticos,2017-09-03,3
eletrodomesticos,2017-09-09,1
eletrodomesticos,2017-09-21,1
eletrodomesticos,2017-09-24,2
eletrodomesticos,2017-09-29,1
eletrodomesticos,2017-09-30,1
eletrodomesticos,2017-10-02,2
eletrodomesticos,2017-10-09,1
eletrodomesticos,2017-10-10,1
eletrodomesticos,2017-10-18,1
eletrodomesticos,2017-10-19,1
eletrodomesticos,2017-10-20,1
eletrodomesticos,2017-10-25,1
eletrodomesticos,2017-11-08,1
eletrodomesticos,2017-11-16,1
eletrodomesticos,2017-11-22,1
eletrodomesticos,2017-11-23,1
eletrodomesticos,2017-11-24,3
eletrodomesticos,2017-11-25,3
eletrodomesticos,2017-11-26,2
eletrodomesticos,2017-11-27,3
eletrodomesticos,2017-11-28,6
eletrodomesticos,2017-11-30,4
eletrodomesticos,2017-12-01,1
eletrodomesticos,2017-12-02,1
eletrodomesticos,2017-12-03,3
eletrodomesticos,2017-12-04,2
eletrodomesticos,2017-12-06,2
eletrodomesticos,2017-12-07,3
eletrodomesticos,2017-12-23,1
eletrodomesticos,2017-12-26,1
eletrodomesticos,2017-12-27,1
eletrodomesticos,2017-12-30,1
eletrodomesticos,2018-01-04,1
eletrodomesticos,2018-01-05,2
eletrodomesticos,2018-01-07,2
eletrodomesticos,2018-01-08,1
eletrodomesticos,2018-01-09,3
eletrodomesticos,2018-01-11,1
eletrodomesticos,2018-01-12,1
eletrodomesticos,2018-01-13,1
eletrodomesticos,2018-01-14,2
eletrodomesticos,2018-01-15,1
eletrodomesticos,2018-01-16,4
eletrodomesticos,2018-01-17,2
eletrodomesticos,2018-01-18,2
eletrodomesticos,2018-01-24,1
eletrodomesticos,2018-01-25,2
eletrodomesticos,2018-01-29,1
eletrodomesticos,2018-01-31,1
eletrodomesticos,2018-02-03,1
eletrodomesticos,2018-02-04,6
eletrodomesticos,2018-02-05,1
eletrodomesticos,2018-02-06,2
eletrodomesticos,2018-02-07,2
eletrodomesticos,2018-02-08,1
eletrodomesticos,2018-02-09,2
eletrodomesticos,2018-02-10,1
eletrodomesticos,2018-02-12,2
eletrodomesticos,2018-02-13,2
eletrodomesticos,2018-02-14,3
eletrodomesticos,2018-02-17,1
eletrodomesticos,2018-02-21,5
eletrodomesticos,2018-02-22,2
eletrodomesticos,2018-02-23,4
eletrodomesticos,2018-02-25,4
eletrodomesticos,2018-02-26,3
eletrodomesticos,2018-02-27,3
eletrodomesticos,2018-02-28,4
eletrodomesticos,2018-03-01,2
eletrodomesticos,2018-03-02,1
eletrodomesticos,2018-03-03,1
eletrodomesticos,2018-03-05,5
eletrodomesticos,2018-03-06,1
eletrodomesticos,2018-03-07,3
eletrodomesticos,2018-03-08,3
eletrodomesticos,2018-03-09,2
eletrodomesticos,2018-03-10,1
eletrodomesticos,2018-03-11,2
eletrodomesticos,2018-03-12,2
eletrodomesticos,2018-03-13,1
eletrodomesticos,2018-03-14,2
eletrodomesticos,2018-03-15,7
eletrodomesticos,2018-03-18,2
eletrodomesticos,2018-03-19,5
eletrodomesticos,2018-03-20,5
eletrodomesticos,2018-03-21,7
eletrodomesticos,2018-03-22,3
eletrodomesticos,2018-03-23,1
eletrodomesticos,2018-03-24,1
eletrodomesticos,2018-03-25,1
eletrodomesticos,2018-03-26,1
eletrodomesticos,2018-03-27,2
eletrodomesticos,2018-03-28,2
eletrodomesticos,2018-03-29,1
eletrodomesticos,2018-03-30,3
eletrodomesticos,2018-03-31,3
eletrodomesticos,2018-04-01,1
eletrodomesticos,2018-04-02,4
eletrodomesticos,2018-04-04,6
eletrodomesticos,2018-04-05,6
eletrodomesticos,2018-04-06,3
eletrodomesticos,2018-04-07,5
eletrodomesticos,2018-04-09,6
eletrodomesticos,2018-04-10,7
eletrodomesticos,2018-04-11,2
eletrodomesticos,2018-04-12,8
eletrodomesticos,2018-04-13,3
eletrodomesticos,2018-04-14,3
eletrodomesticos,2018-04-15,8
eletrodomesticos,2018-04-16,5
eletrodomesticos,2018-04-17,4
eletrodomesticos,2018-04-18,5
eletrodomesticos,2018-04-19,3
eletrodomesticos,2018-04-20,3
eletrodomesticos,2018-04-21,3
eletrodomesticos,2018-04-22,2
eletrodomesticos,2018-04-23,4
eletrodomesticos,2018-04-24,3
eletrodomesticos,2018-04-25,6
eletrodomesticos,2018-04-26,2
eletrodomesticos,2018-04-27,1
eletrodomesticos,2018-04-28,1
eletrodomesticos,2018-04-29,2
eletrodomesticos,2018-05-02,2
eletrodomesticos,2018-05-03,4
eletrodomesticos,2018-05-04,2
eletrodomesticos,2018-05-05,1
eletrodomesticos,2018-05-06,1
eletrodomesticos,2018-05-07,3
eletrodomesticos,2018-05-08,2
eletrodomesticos,2018-05-09,3
